Ticket ID,CCL#,Description,Issue Type Reported,Owner,Priority,Current Status,Requestor name,Completion Time,Created time,Resolved On,Closed Time
"1485016","1089","Grant/Grantee search on Fundacion     	 In order for a search on Fundacion" to work","FordGBS - Lists and Filters","","4","Reassigned","Deborah Bloom","","2014-07-14 17:19:25","--","--"
"1467598","1081","transaction future dated to calendar month end date were including in the date's reports        the future date payment transactions -- the paiddate of Jun 30th and were sent to GBS on Jun 27th, are included on Jun 30th reports.  This occurred when the transactions were date to calendar month end date","FordGBS - Dashboards","K.Zhao","4","Pending with Vendor","Hamid El Amarti","","2014-07-07 18:02:32","--","--"
"1452937","1077","permanent fix for corrupted RGA after finalization","FordGBS - EasyUpload/VGL Issue","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-07-01 17:05:19","--","--"
"1414833","1065","workflow did not create new task due to unable to deliver" error"","FordGBS - EasyUpload/VGL Issue","K.Zhao","4","Pending with Vendor","Rowena Nixon","","2014-06-19 18:09:26","--","--"
"1411495","1060","Unable to scroll right/left in EDIT REPORTING SCHEDULE panel     	 User is unable to scroll left or right nor does the user have any of the scroll bars in the Reporting - EDIT SCHEDULE pop-up panel while using Firefox...as such, user is unable to enter data in the far right column in the panel when processing a received report","FordGBS - User Interface","","4","Reassigned","Anna Mngolia","","2014-06-18 21:13:50","--","--"
"1408390","1058","request not on TDL for amount confirmation     	 request #121492 is not on my TDL and I cannot confirm grant amount","FordGBS - User Interface","","4","Reassigned","Karin Krslovic","","2014-06-17 12:30:20","--","--"
"1405327","1056","Error when filtering ALL GRANT AMOUNTS     	 User reports that when entering criteria in TARGET POPULATION field of ALL GRANT AMOUNTS view, system generates error. Criteria attempted to be entered was MSM, LGBTQ. Criteria entered individually. Please see attached screen shots.","FordGBS - Lists and Filters","","4","Reassigned","Vidya Dindiyal","","2014-06-16 12:03:42","--","--"
"1393171","1051","permanent fix for ccl1050:OA on different POs To Do List - 1392981     	 when user updated the 'Assessment Completed By' of OA, the name was updated but id did not updated in the db.","FordGBS - TDL","K.Zhao","4","Pending with Vendor","Ola Kamal","","2014-06-12 16:25:38","--","--"
"1384884","1048","Unable to edit grant description      	 Grant description field is grayed out" when I attempt to "Edit Grant."  Last attempt req. 122783. Thank you."","FordGBS - Access to application","K.Zhao","4","Pending with Vendor","Grace Anonuevo","","2014-06-09 15:37:19","--","--"
"1384311","1047","Make the sending Grantee Contact Credential in GBS and Grantee Access consistent      	 Permanent fix for CCL788","Grantee Portal Access","K.Zhao","3","Pending with Vendor","Kevin Zhao","","2014-06-09 11:07:47","--","--"
"1373496","1042","Do not allow user to restart completed workflow from admintool     	 only active workflow can be restarted from admintool","FordGBS - Internal Dev Task","K.Zhao","4","Pending with Vendor","GBS Dev","","2014-06-05 14:04:00","--","--"
"1370884","1039","Reverse linkage relationship","FordGBS - Other","","4","Reassigned","Suzie Lee","","2014-06-04 17:34:00","--","--"
"1367940","1036","Approved By" field in the Grant Record should   correspond with the Grantee Record "Trustee Affiliated Grantee"   field at the time the request was approved"","FordGBS - History incorrect/missing","K.Zhao","4","Pending with Vendor","Chris Gillespie","","2014-06-03 15:27:44","--","--"
"1367663","1035","Req. 122541 to Cuban Artists Fund needs status changed to   Recommended for Audit Committee Approval","FordGBS - Policies/Procedures/Guidelines","","4","Reassigned","Dessida Snyder","","2014-06-03 13:51:15","--","--"
"1357921","1030","Dates appeasr as numbers for list of Initiatives, GMs and   RPOs","FordGBS - Lists and Filters","K.Zhao","4","Accepted","Salim Sufi","","2014-05-30 17:42:34","--","--"
"1339869","1023","title and content mismacth when try to widen the columns","FordGBS - Lists and Filters","K.Zhao","4","Pending with User","Zaenudin Mochamad","","2014-05-23 22:33:07","--","--"
"1317181","1005","No Reset board list" option"","FordGBS - Other","","4","Reassigned","Franklin Nunez","","2014-05-14 11:27:25","--","--"
"1306080","1003","EasyUpload and DocGen icons disppeared often for some overseas offices       TAs reported this issue during the Global IT Meeting, will work with Brazil, South Africa, and Mexico office on troubleshooting it.","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","ta.mexico","","2014-05-10 10:35:37","--","--"
"1285705","995","Add new tax information label and ER flag columns to the 990 reports     	 Per new requirement from the IRS, the 990 reports (both 990_pf_Payment and 990_pf_Approvals) need to display new tax codes from FY2013 onward.  Auditor requests to  1. display the new tax code next to the original tax code column  2. display the ER flag in the 990 report 990_pf_Payment","FordGBS - Report Builder/DW","K.Zhao","4","Pending with User","Elaine Kranich","","2014-05-02 13:40:13","--","--"
"1281466","990","Error on Sort","FordGBS - Lists and Filters","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-04-30 17:10:53","--","--"
"1280864","989","Approved Recoverable Grants (RGs) need to be marked as RGs.","FordGBS - Other","K.Zhao","4","Accepted","Anil Oommen","","2014-04-30 10:55:54","--","--"
"1279428","986","Supplements change needed","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Suzie Lee","","2014-04-29 19:15:45","--","--"
"1278731","985","permanent fix for ccl982 ccl557:unable to change GNL contact   after grantee change","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Qinghua Sun","","2014-04-29 11:48:50","--","--"
"1278436","984","User Authority Reports     	 User constantly experience the slowness when trying to run the User Memberships Group report and the Authority Groups report .","FordGBS - System Errors","K.Zhao","4","Accepted","Kevin Zhao","","2014-04-29 08:14:59","--","--"
"1268979","983","Linking Supplements     	 We’ve been asked to run an analysis on renewals so I need to query the linkage type field. However, I notice weird things with the linkage type description field. For example, Req# 119981 is the original grant. Req#122408 is a supplement.  However, the linkage type description for Req#119981 says Supplement for Req#122408".  The linkage type description for Req# 122408 reads “Supplement for Req # 122408”. IN the former case","FordGBS - Other","K.Zhao","4","Pending with User","Suzie Lee","","2014-04-25 12:26:18","--","--"
"1242556","967","Permanent fix for CCL966","FordGBS - Other","K.Zhao","4","Pending with Vendor","Janice Rocha","","2014-04-16 17:35:26","--","--"
"1238610","965","User received Only one item can be selected for te requested   action, error on TDL Reports section","FordGBS - TDL","K.Zhao","3","Pending with Vendor","Hilary Pennington","","2014-04-15 18:28:34","--","--"
"1238028","962","Easy Upload - Bifurcated Budget     	 Please add the Proposal -Budget(Bifurcated) to the document type in Easy Upload","FordGBS - EasyUpload/VGL Issue","K.Zhao","4","Pending with Vendor","Marcia Nichoel","","2014-04-15 15:37:30","--","--"
"1236983","961","Payment projections in FASB report do not include payments for future fiscal years     	 The FASB report for fiscal year 2013, does not reflect all projected payments entered in GBS, because GBS is only displaying financial information for two fiscal years at a time (current (2014) and next (2015). Payments projected in GBS for release in FY 2016 and FY 2017, are not captured in the FASB report for the end of 12/31/2013, as Future Projections. The total amount of the unpaid balance of all grants at the end of 12/31/2013 should match the total amount of the projected payments in the FASB Report, as all projected payments are entered in GBS. [see attachment]","FordGBS - Lists and Filters","K.Zhao","4","Pending with Vendor","Salim Sufi","","2014-04-15 10:20:49","--","--"
"1215604","956","Permanent Fix for CCL952     	 A Final Narrative reporting requirement was added to Req# 120328 with a Reporting Period Start date of 5/1/2014, Reporting Period End Date and Due Date of 10/31/2014....GBS displayed a confirmation message that the reporting requirement was successfully added, however, the requirement is not displayed in the reporting panel","FordGBS - Grantee Reporting","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-04-10 13:12:13","--","--"
"1215074","954","RGA Document not on PO TDL     	 Req# 120979 has an RGA document that was submitted....it is on the TDL as viewed by SuperAdmin, however is not on the TDL for the PO","FordGBS - TDL","","4","Reassigned","Rosalie Mistades","","2014-04-10 09:48:54","--","--"
"1209362","951","Include approval timestamp on Exempt Purpose Memos","FordGBS - DocGen (RGA, GNL, etc.) Issue","K.Zhao","4","Pending with Vendor","Chris Gillespie","","2014-04-08 15:17:32","--","--"
"1187478","940","GNC Arts And Culture was allowed to over commit funds","FordGBS - Budget","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-04-01 14:27:09","--","--"
"1166670","925","Interim GSR for 117650 had to be approved twice","FordGBS - Grantee Reporting","K.Zhao","4","Accepted","Henry Kwok","","2014-03-26 14:02:25","--","--"
"1159053","921","Update the VGF metadata sync        1. publish the data for fields DocumentCategory, DocumentType,GrantType, and RequestNumber.  all the values need to be descriptive (not code number/ID)  2. to avoid sending too many records to Semaphore for re-classification, the SP job should determine if documents requires re-classification by comparing relevant metadata to previous day's records","FordGBS - Internal Dev Task","K.Zhao","4","Pending with Vendor","Keith Oberlin","","2014-03-24 12:20:57","--","--"
"1158460","919","Removal of Organizational Assessment Requirement for PRI RGA on PO's TDL    Currently, the RGA Approval Process (workflow) doesn't require an Org. Assessment for PRI RGAs.  i.e, the RGA Cover Page finalizes without PO doing an Org. Assessment. However, this requirement still appears on the PO's TDL.   It would be great if we could remove this requirement form the TDL as well.  Please see attached email from S. Hairston dated 3/21/14.   Thanks Anil 3/24/14","FordGBS - DocGen (RGA, GNL, etc.) Issue","K.Zhao","4","Pending with Vendor","Anil Oommen","","2014-03-24 08:10:00","--","--"
"1142315","914","PO Aurélio Vianna gets frequent error message in his TDL        PO Aurélio Vianna completes and approves a GSR in his TDL.  Then he selects another GSR and clicks on complete/view".  He gets an error message saying "only one item can be selected...".  He should not get this error message because there is","FordGBS - TDL","K.Zhao","4","Pending with Vendor","Luiza Souza","","2014-03-19 17:52:46","--","--"
"1116010","900","Issue on deleting board member from Grantee Access","FordGBS - System Errors","K.Zhao","4","Pending with Vendor","Zheng, Hong","","2014-03-12 05:08:44","--","--"
"1104879","896","Budget Pages not displaying inactive cost centers","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Cary Herman","","2014-03-07 17:19:13","--","--"
"1104650","895","Workflow delay on creating next step task","FordGBS - Other","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-03-07 15:37:57","--","--"
"1100149","891","Non-Audit Comittee Grants","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Deborah Bloom","","2014-03-05 20:01:21","--","--"
"1096093","888","Need to review current rules for Decrease notifications        Decrease notifications are now being sent to a distribution list that includes the President and Vice President. What are the current criteria for these notifications? We may want to remove some of the recipients. Also, are the notification rules that same for Decreases and Rescissions?    Please see the attached sample email.","FordGBS - Emails","K.Zhao","4","Pending with User","Chris Gillespie","","2014-03-04 10:46:39","--","--"
"1092706","882","Last Upload Date does not seem to update        when new versions are added to the RGA","FordGBS - DocGen (RGA, GNL, etc.) Issue","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-03-03 11:01:09","--","--"
"1081632","875","Pulication in Grant Files        Permanent fix for CCL874 and CCL238.  there are some  duplicated (identical) GrantMetaDocumentMap records for same documents","FordGBS - Other","K.Zhao","4","Pending with Vendor","John Naughton","","2014-02-27 16:34:17","--","--"
"1078876","872","Blank PA#s for some PRIs","FordGBS - Request Processing","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-02-26 16:56:14","--","--"
"1062519","862","permanent fix for ccl846:duplicate grant budget code        1. The Save button should be disabled after clicking.  2. System should not allow user to enter budget more than once for same budget category","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-02-20 17:17:09","--","--"
"1062168","861","when creating contact from Grantee Access, the User ID is blank        permenant fix for CCL788    we noticed some grantee contacts created from extranet do not have LoginName. Team is investigating on it.","FordGBS - Access to application","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-02-20 14:23:42","--","--"
"1042578","842","Grant Maker and pools are not deactivated after their parent cost center is deactivated        permanent fix for CCL804.    the Grant Makers and Pools should be deactivated together if their parent cost center is deactivated.  this is part of CC699 before.  if the pool or grant maker is in use, then error message should be displayed when deactivating the cost center  sample grant makers and pools are  Pools List  Strengthening human rights worldwide - Global  Default Pool Strengthening Human Rights Worldwide Global Human Rights  Default Pool NON-INITIATIVE Global Human Rights  Default Pool Promoting Transparent, Effective And Accountable Government - Global  Default Pool Reforming Global Financial Governance Global Human Rights  Reforming global financial governance - Global  Director's Reserve  NY - Africa Regional Funds  Promoting Transparent, Effective and Accountable Government - Global    Grant Maker List   Abregu Martin (Rights and Governance)  Burlamaqui Leonardo (Rights and Governance)  Bickford Louis N (Rights and Governance)","FordGBS - System Errors","K.Zhao","4","Pending with Vendor","Salim Sufi","","2014-02-13 14:57:34","--","--"
"1036569","829","permanent fix for ccl732: GPU Pink Form and GNL Finalization shows invalid grants       we need to find out whether GNL document is finalizing from TDL or Grant files.","FordGBS - TDL","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-02-11 13:44:27","--","--"
"1025203","818","Request and Grant Amounts Query Column - Cover Sheet Valid        Request and Grant Amounts Query Column - Cover Sheet Valid is showing incorrect data.  It seems to be opposite of what is true.  For example of the items on the list (see attachment) only Hartley House should have a valide Cover Sheet (it shows N") and all of the other ones should not have a valide cover sheet (they show "Y")"","FordGBS - Report Builder/DW","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-02-07 16:36:59","--","--"
"1021943","810","History shows incorrect name for Workflow Restarts         See 120647    Workflow was restarted once by Cary and once by me, but it shows Manuela's name on the history.","FordGBS - History incorrect/missing","K.Zhao","4","Pending with Vendor","Henry Kwok","","2014-02-06 10:48:22","--","--"
"1021857","809","Grant Status of RGAs should change to “Scheduled for Approval” when the RGA Agenda is finalized (instead of placed into draft)         Now that General Counsel and Presidential Approval of RGAs is done through an electronic workflow, the Grant Status of RGA requests should change to Scheduled for Approval" only after the RGA Agenda is finalized.  (In current production","FordGBS - Internal Dev Task","K.Zhao","4","Pending with Vendor","Chris Gillespie","","2014-02-06 10:00:33","--","--"
"1021453","807","Permanent Fix for GBS1 users ADID        In GBS1, only limited contacts have ADID. 639 Grantee contacts are without ADID.","FordGBS - TDL","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-02-06 06:34:06","--","--"
"1006698","791","permanent fix for ccl 678:Need to update metadata         some of document metadate is 7592.","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Qinghua Sun","","2014-01-31 16:02:49","--","--"
"982174","767","Ford Foundation Grantee access - Correct surname of contact/officer - 966091 - PostMortem    User (Jacqui Groeneweegen) unable to correct his surname on the contacts tab. Every time user tries to correct surname on the contacts tab, and press save; it says that the email address does not seem valid. There is no problem with the email address, only surname is spelt incorrectly.    [KZ20140121]: User's email address (JacquiG@salc.org.za) has .za" domain email which does not seem valid","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Globalservicedesk","","2014-01-22 14:43:15","--","--"
"950000","740","View History time-out       when attempting to view history for Req# 119755, the system times out and am not able to view history of grant changes","FordGBS - History incorrect/missing","K.Zhao","4","Pending with Vendor","Cary Herman","","2014-01-09 08:51:50","--","--"
"948449","736","Cannot open old version of a RGA document in VGF (Req#121906)       nothing happen after user select the version and click on download.  The document has 10 version, but version 1-6 do not work.  Its versions in Sharepoint work fine","FordGBS - DocGen (RGA, GNL, etc.) Issue","K.Zhao","4","Pending with Vendor","Cary Herman","","2014-01-08 16:32:51","--","--"
"944756","728","Enhancements for the workflow restart screen      Adding fields (not sure what is the best fields for this purpose yet) to show what grant amount or GSR the workflow queue is related to. This would be helpful for users to identify the workflow queue he/she wants to restart. Currently on the Workflow Restart screen, there are multiple workflow queues for each grant, in some cases there could be too many, and users have trouble to find the workflow queue. For example Req#121524 have over 100 workflow queues on the screen (refer to screenshot below). As a result, 18 TDL items were recreated created because wrong workflow queues were restarted by mistake.   2. Display only the latest workflow queue of each workflow for each grant amount or grant. For example, there are total 6 workflow queues for Grant Amount 133948 (see highlighted workflow queue below). Instead of displaying all the 6 workflow queues, displaying ONLY the workflow queue 52376 (latest for Fund Request – V1) and 53823 (latest for GAP - Grant Amount Level - V1) will help to avoid users restarting old workflow queues and also make it easier to find the needed workflow queue.","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-01-07 07:31:27","--","--"
"923143","713","New Process for Diversion/Verification data entry for ER Report         I've received the go-ahead from Legal Services to revise the Diversion/Verification data entry process for the ER Report.  Grants Managers will (as always) review their ER grants with the Primary Grantmaker.  They will prepare a memo confirming that this review has been done and either stating that there were no suspected diversions or listing any.  They will manually enter any suspected diversions (rarely more than one a year -- if that).  When that has been done, we would like all 2013 ER records to have the default entries for Diversion/Verification globally changed from Not Determined" to "No Diversion"/"Not Verified." This will probably be sometime in February or early March; but I'd like us to be able to test it by the first week in February."","FordGBS - Other","K.Zhao","4","Work in Progress","Deborah Bloom","","2013-12-27 15:28:06","--","--"
"908200","706","There is no straightforward way to identify global grants data for the website.  Every time an initiative moves the report needs to be re-jiggered, not always successfully.  After discussions with the Office of Communications, it was agreed that I should request the addition of a field at the ACTION level to indicate whether or not a particular grant is global.  It would normally be checked off pre-approval by the grant maker or grants manager but would also need to be updatable post-approval.","FordGBS - Report Builder/DW","K.Zhao","4","Pending with Vendor","Deborah bloom","","2013-12-23 14:00:11","--","--"
"891286","701","Grant (req#121749) shown twice on Susan's TDL    the grant from GNC displayed twice on Susan's TDL","FordGBS - TDL","K.Zhao","4","Work in Progress","Susan Hairston","","2013-12-18 12:52:44","--","--"
"885312","693","Error of cannot unselect uniniative for this CCLOW and   funding source its used in Grant Amount funding source" when updating   grant maker term"","FordGBS - System Errors","K.Zhao","4","Pending with Vendor","Cary Herman","","2013-12-16 17:28:56","--","--"
"837412","662","Classification of documents fail upon upload","FordGBS - Other","K.Zhao","4","Pending with Vendor","Dalia Levine","","2013-11-26 15:01:12","--","--"
"835778","658","Primary or Share column in Grant Amount List shows incorrect data    The attached list is a pullout from GBS of our FY2014 requests. Column J (Primary or Share) looks like it does not get sorted correctly. I keep thinking that the system should be able to tell me when the amount is from the primary grant maker or the contributor (Grant Maker Share). Instead the whole column just reads Grant Maker Share all through which does not help me. For example the first request no. 121203 has two contributions, $230k from the RPO and $150k from the Grant Maker Share but both are indicated as Grant Maker Share. Please check and let me know if you understand differently. I have a number of shared grants and it would be helpful if the system could sort them by Primary or Share grant maker.","FordGBS - History incorrect/missing","K.Zhao","4","Pending with Vendor","Anna Mngolia","","2013-11-25 19:01:36","--","--"
"816842","629","System gives error when user edit only full name for a pool   permanent fix for CCL624","FordGBS - User Interface","K.Zhao","4","Pending with Vendor","Bloom, Deborah","","2013-11-13 19:17:44","--","--"
"809775","619","Same grant shows twice","FordGBS - Grantee Reporting","K.Zhao","4","Pending with Vendor","Henry Kwok","","2013-11-08 10:44:50","--","--"
"801846","595","PRI has moved to new investee      Req. #11578, a PRI to Neighborhood Housing Services of Chicago, has been reassigned to a new investee.  Please move this request from Grantee ID #11948 TO Grantee  ID 33226 (Neighborhood Lending Services).  Since this is a PRI, there are no financial implications.","FordGBS - Other","","4","Reassigned","Deborah Bloom","","2013-10-31 11:59:07","--","--"
"781915","571","Budget page issue    If a user does not set the My Budget page preference and clicks on My Budget, GBS should display a warning message that “Please set Budget Preference first.”","FordGBS (Grant and Budgets System)- User Interface","K.Zhao","4","Pending with Vendor","Caixia Niu","","2013-10-16 05:31:01","--","--"
"743162","535","Unable to delete duplicate grantee","FordGBS (Grant and Budgets System)- Data Quick-Fix","K.Zhao","4","Accepted","Snyder, Dessida","","2013-09-25 12:41:36","--","--"
"737005","530","Updating GNL Date when GNL is updated after finalization    GNL could be changed after finalization, in this case the GNL date needed to be changed (refer to email from Chris)","FordGBS (Grant and Budgets System)- Systems & Integration","K.Zhao","4","Pending with Vendor","Chris Gillespie","","2013-09-22 20:38:27","--","--"
"727049","520","GBS should allow users to enter Secondary Grantee after approval    While secondaries are usually identified prior to approval these days, they may still occasionally be identified post approval.  We should therefore (as in the past) be able to add secondaries throughout the process, including post approval.","FordGBS (Grant and Budgets System)- Systems & Integration","balakrishnaprasad","4","Pending with Vendor","Deborah Bloom","","2013-09-17 10:30:42","--","--"
"725578","519","Capture evidence of approval for appropriation and fund transfers    GBS must require user to attach a document providing evidence and comments that the following (budget) financial transactions have the proper approvals: • Initial Appropriations • Funds Transfers • Funds Increases • Funds Decreases Permission to create and execute the above transactions should continue to be restricted to GIU users.","FordGBS (Grant and Budgets System)- Systems & Integration","balakrishnaprasad","4","Pending with Vendor","Deborah Bloom","","2013-09-16 11:13:07","--","--"
"721096","514","Select All in OGC and Presidential Approval workflow select items across different Presidential Approval Agendas       Select All in OGC and Presidential Approval workflow panel would select TDL items in different Presidential Approval Agendas","FordGBS (Grant and Budgets System)- Systems & Integration","balakrishnaprasad","4","Pending with Vendor","Salim Sufi","","2013-09-13 09:42:49","--","--"
"719495","505","On Hold is visible from View To Do List","FordGBS (Grant and Budgets System)- User Interface","balakrishnaprasad","4","Pending with Vendor","Henry Kwok","","2013-09-12 06:45:10","--","--"
"719488","504","Scheduled for Approval","FordGBS (Grant and Budgets System)- Systems & Integration","balakrishnaprasad","4","Pending with Vendor","Henry Kwok","","2013-09-12 06:37:35","--","--"
"718021","499","PRI - Restricted view to ISS    We need to restrict access to PRI ISS in GBS. Both Susan and Cary have been informed of this. Please call me for details.    Thanks Anil 9/11","FordGBS (Grant and Budgets System)- Security","balakrishnaprasad","4","Pending with Vendor","Anil Oommen","","2013-09-11 10:28:02","--","--"
"707079","488","data conversion to make the postive/negative sign for transaction amount consistent      currently the postive/negative sign for grant transaction amount are handled differently in the transaction database before and after GBS2 deployment; e.g. Req106390  need to make it consistent.","FordGBS (Grant and Budgets System)- Migration and Release","balakrishnaprasad","4","Pending with Vendor","Kavitha Kothur","","2013-08-30 11:58:21","--","--"
