"TicketID","Description"
"1317181","No "Reset board list" option"
"1306080","EasyUpload and DocGen icons disppeared often for some overseas offices       TAs reported this issue during the Global IT Meeting, will work with Brazil, South Africa, and Mexico office on troubleshooting it."
"1285705","Add new tax information label and ER flag columns to the 990 reports     	 Per new requirement from the IRS, the 990 reports (both 990_pf_Payment and 990_pf_Approvals) need to display new tax codes from FY2013 onward.  Auditor requests to  1. display the new tax code next to the original tax code column  2. display the ER flag in the 990 report 990_pf_Payment"
"1281466","Error on Sort"
"1280864","Approved Recoverable Grants (RGs) need to be marked as RGs."
"1279428","Supplements change needed"
"1278731","permanent fix for ccl982 ccl557:unable to change GNL contact   after grantee change"
"1278436","User Authority Reports     	 User constantly experience the slowness when trying to run the User Memberships Group report and the Authority Groups report ."
"1268979","Linking Supplements     	 We’ve been asked to run an analysis on renewals so I need to query the linkage type field. However, I notice weird things with the linkage type description field. For example, Req# 119981 is the original grant. Req#122408 is a supplement.  However, the linkage type description for Req#119981 says "Supplement for Req#122408".  The linkage type description for Req# 122408 reads “Supplement for Req # 122408”. IN the former case, it should more clearly say that req# 122408 is a supplement of req#119981 and in the latter, it should read "Supplement for Req#119981".      I linked these two by navigating to Req#122408's page and clicking on Link Supplement under the action menu. Is it possible to reverse the relationship or clarify the field buttons so that the user will know to navigate to the original grant rather than the new one to link supplement?      Please contact me for more information.  x4771"
"1242556","Permanent fix for CCL966"
"1238610","User received Only one item can be selected for te requested   action, error on TDL Reports section"
"1238028","Easy Upload - Bifurcated Budget     	 Please add the Proposal -Budget(Bifurcated) to the document type in Easy Upload"
"1236983","Payment projections in FASB report do not include payments for future fiscal years     	 The FASB report for fiscal year 2013, does not reflect all projected payments entered in GBS, because GBS is only displaying financial information for two fiscal years at a time (current (2014) and next (2015). Payments projected in GBS for release in FY 2016 and FY 2017, are not captured in the FASB report for the end of 12/31/2013, as Future Projections. The total amount of the unpaid balance of all grants at the end of 12/31/2013 should match the total amount of the projected payments in the FASB Report, as all projected payments are entered in GBS. [see attachment]"
"1215604","Permanent Fix for CCL952     	 A Final Narrative reporting requirement was added to Req# 120328 with a Reporting Period Start date of 5/1/2014, Reporting Period End Date and Due Date of 10/31/2014....GBS displayed a confirmation message that the reporting requirement was successfully added, however, the requirement is not displayed in the reporting panel"
"1215074","RGA Document not on PO TDL     	 Req# 120979 has an RGA document that was submitted....it is on the TDL as viewed by SuperAdmin, however is not on the TDL for the PO"
"1209362","Include approval timestamp on Exempt Purpose Memos"
"1187478","GNC Arts And Culture was allowed to over commit funds"
"1166670","Interim GSR for 117650 had to be approved twice"
"1159053","Update the VGF metadata sync        1. publish the data for fields DocumentCategory, DocumentType,GrantType, and RequestNumber.  all the values need to be descriptive (not code number/ID)  2. to avoid sending too many records to Semaphore for re-classification, the SP job should determine if documents requires re-classification by comparing relevant metadata to previous day's records"
"1158460","Removal of Organizational Assessment Requirement for PRI RGA on PO's TDL    Currently, the RGA Approval Process (workflow) doesn't require an Org. Assessment for PRI RGAs.  i.e, the RGA Cover Page finalizes without PO doing an Org. Assessment. However, this requirement still appears on the PO's TDL.   It would be great if we could remove this requirement form the TDL as well.  Please see attached email from S. Hairston dated 3/21/14.   Thanks Anil 3/24/14"
"1142315","PO Aurélio Vianna gets frequent error message in his TDL        PO Aurélio Vianna completes and approves a GSR in his TDL.  Then he selects another GSR and clicks on "complete/view".  He gets an error message saying "only one item can be selected...".  He should not get this error message because there is, in fact, only one item selected (see attached snapshot).      The problem does not happen if PO approves one GSR and then approves something else (e.g., a modification).  But when he tries to approve a second GSR, the problem happens.  The workaround is to close GBS and open it again, which is annoying."
"1116010","Issue on deleting board member from Grantee Access"
"1104879","Budget Pages not displaying inactive cost centers"
"1104650","Workflow delay on creating next step task"
"1100149","Non-Audit Comittee Grants"
"1096093","Need to review current rules for Decrease notifications        Decrease notifications are now being sent to a distribution list that includes the President and Vice President. What are the current criteria for these notifications? We may want to remove some of the recipients. Also, are the notification rules that same for Decreases and Rescissions?    Please see the attached sample email."
"1092706","Last Upload Date does not seem to update        when new versions are added to the RGA"
"1081632","Pulication in Grant Files        Permanent fix for CCL874 and CCL238.  there are some  duplicated (identical) GrantMetaDocumentMap records for same documents"
"1078876","Blank PA#s for some PRIs"
"1062519","permanent fix for ccl846:duplicate grant budget code        1. The Save button should be disabled after clicking.  2. System should not allow user to enter budget more than once for same budget category"
"1062168","when creating contact from Grantee Access, the User ID is blank        permenant fix for CCL788    we noticed some grantee contacts created from extranet do not have LoginName. Team is investigating on it."
"1042578","Grant Maker and pools are not deactivated after their parent cost center is deactivated        permanent fix for CCL804.    the Grant Makers and Pools should be deactivated together if their parent cost center is deactivated.  this is part of CC699 before.  if the pool or grant maker is in use, then error message should be displayed when deactivating the cost center  sample grant makers and pools are  Pools List  Strengthening human rights worldwide - Global  Default Pool Strengthening Human Rights Worldwide Global Human Rights  Default Pool NON-INITIATIVE Global Human Rights  Default Pool Promoting Transparent, Effective And Accountable Government - Global  Default Pool Reforming Global Financial Governance Global Human Rights  Reforming global financial governance - Global  Director's Reserve  NY - Africa Regional Funds  Promoting Transparent, Effective and Accountable Government - Global    Grant Maker List   Abregu Martin (Rights and Governance)  Burlamaqui Leonardo (Rights and Governance)  Bickford Louis N (Rights and Governance)"
"1036569","permanent fix for ccl732: GPU Pink Form and GNL Finalization shows invalid grants       we need to find out whether GNL document is finalizing from TDL or Grant files."
"1025203","Request and Grant Amounts Query Column - Cover Sheet Valid        Request and Grant Amounts Query Column - Cover Sheet Valid is showing incorrect data.  It seems to be opposite of what is true.  For example of the items on the list (see attachment) only Hartley House should have a valide Cover Sheet (it shows "N") and all of the other ones should not have a valide cover sheet (they show "Y")"
"1021943","History shows incorrect name for Workflow Restarts         See 120647    Workflow was restarted once by Cary and once by me, but it shows Manuela's name on the history."
"1021857","Grant Status of RGAs should change to “Scheduled for Approval” when the RGA Agenda is finalized (instead of placed into draft)         Now that General Counsel and Presidential Approval of RGAs is done through an electronic workflow, the Grant Status of RGA requests should change to "Scheduled for Approval" only after the RGA Agenda is finalized.  (In current production, the grant status of RGAs changes to "Scheduled for Approval" when the RGA Agenda is put into Draft mode; this is causing requests to move to the General Counsel's To Do List before the RGA Agenda is final.)  See the attached revised specifications."
"1021453","Permanent Fix for GBS1 users ADID        In GBS1, only limited contacts have ADID. 639 Grantee contacts are without ADID."
"1006698","permanent fix for ccl 678:Need to update metadata         some of document metadate is 7592."
"982174","Ford Foundation Grantee access - Correct surname of contact/officer - 966091 - PostMortem    User (Jacqui Groeneweegen) unable to correct his surname on the contacts tab. Every time user tries to correct surname on the contacts tab, and press save; it says that the email address does not seem valid. There is no problem with the email address, only surname is spelt incorrectly.    [KZ20140121]: User's email address (JacquiG@salc.org.za) has ".za" domain email which does not seem valid, due to which the system is throwing error."
"950000","View History time-out       when attempting to view history for Req# 119755, the system times out and am not able to view history of grant changes"
"948449","Cannot open old version of a RGA document in VGF (Req#121906)       nothing happen after user select the version and click on download.  The document has 10 version, but version 1-6 do not work.  Its versions in Sharepoint work fine"
"944756","Enhancements for the workflow restart screen      Adding fields (not sure what is the best fields for this purpose yet) to show what grant amount or GSR the workflow queue is related to. This would be helpful for users to identify the workflow queue he/she wants to restart. Currently on the Workflow Restart screen, there are multiple workflow queues for each grant, in some cases there could be too many, and users have trouble to find the workflow queue. For example Req#121524 have over 100 workflow queues on the screen (refer to screenshot below). As a result, 18 TDL items were recreated created because wrong workflow queues were restarted by mistake.   2. Display only the latest workflow queue of each workflow for each grant amount or grant. For example, there are total 6 workflow queues for Grant Amount 133948 (see highlighted workflow queue below). Instead of displaying all the 6 workflow queues, displaying ONLY the workflow queue 52376 (latest for Fund Request – V1) and 53823 (latest for GAP - Grant Amount Level - V1) will help to avoid users restarting old workflow queues and also make it easier to find the needed workflow queue."
"923143","New Process for Diversion/Verification data entry for ER Report         I've received the go-ahead from Legal Services to revise the Diversion/Verification data entry process for the ER Report.  Grants Managers will (as always) review their ER grants with the Primary Grantmaker.  They will prepare a memo confirming that this review has been done and either stating that there were no suspected diversions or listing any.  They will manually enter any suspected diversions (rarely more than one a year -- if that).  When that has been done, we would like all 2013 ER records to have the default entries for Diversion/Verification globally changed from "Not Determined" to "No Diversion"/"Not Verified." This will probably be sometime in February or early March; but I'd like us to be able to test it by the first week in February."
"908200","There is no straightforward way to identify global grants data for the website.  Every time an initiative moves the report needs to be re-jiggered, not always successfully.  After discussions with the Office of Communications, it was agreed that I should request the addition of a field at the ACTION level to indicate whether or not a particular grant is global.  It would normally be checked off pre-approval by the grant maker or grants manager but would also need to be updatable post-approval."
"891286","Grant (req#121749) shown twice on Susan's TDL    the grant from GNC displayed twice on Susan's TDL"
"885312","Error of "cannot unselect uniniative for this CCLOW and   funding source its used in Grant Amount funding source" when updating   grant maker term"
"837412","Classification of documents fail upon upload"
"835778","Primary or Share column in Grant Amount List shows incorrect data    The attached list is a pullout from GBS of our FY2014 requests. Column J (Primary or Share) looks like it does not get sorted correctly. I keep thinking that the system should be able to tell me when the amount is from the primary grant maker or the contributor (Grant Maker Share). Instead the whole column just reads Grant Maker Share all through which does not help me. For example the first request no. 121203 has two contributions, $230k from the RPO and $150k from the Grant Maker Share but both are indicated as Grant Maker Share. Please check and let me know if you understand differently. I have a number of shared grants and it would be helpful if the system could sort them by Primary or Share grant maker."
"816842","System gives error when user edit only full name for a pool   permanent fix for CCL624"
"809775","Same grant shows twice"
"801846","PRI has moved to new investee      Req. #11578, a PRI to Neighborhood Housing Services of Chicago, has been reassigned to a new investee.  Please move this request from Grantee ID #11948 TO Grantee  ID 33226 (Neighborhood Lending Services).  Since this is a PRI, there are no financial implications."
"781915","Budget page issue    If a user does not set the My Budget page preference and clicks on My Budget, GBS should display a warning message that “Please set Budget Preference first.”"
"743162","Unable to delete duplicate grantee"
"737005","Updating GNL Date when GNL is updated after finalization    GNL could be changed after finalization, in this case the GNL date needed to be changed (refer to email from Chris)"
"727049","GBS should allow users to enter Secondary Grantee after approval    While secondaries are usually identified prior to approval these days, they may still occasionally be identified post approval.  We should therefore (as in the past) be able to add secondaries throughout the process, including post approval."
"725578","Capture evidence of approval for appropriation and fund transfers    GBS must require user to attach a document providing evidence and comments that the following (budget) financial transactions have the proper approvals: • Initial Appropriations • Funds Transfers • Funds Increases • Funds Decreases Permission to create and execute the above transactions should continue to be restricted to GIU users."
"721096","Select All in OGC and Presidential Approval workflow select items across different Presidential Approval Agendas       Select All in OGC and Presidential Approval workflow panel would select TDL items in different Presidential Approval Agendas"
"719495","On Hold is visible from View To Do List"
"719488","Scheduled for Approval"
"718021","PRI - Restricted view to ISS    We need to restrict access to PRI ISS in GBS. Both Susan and Cary have been informed of this. Please call me for details.    Thanks Anil 9/11"
"707079","data conversion to make the postive/negative sign for transaction amount consistent      currently the postive/negative sign for grant transaction amount are handled differently in the transaction database before and after GBS2 deployment; e.g. Req106390  need to make it consistent."
"677898","Recommendation for Approval Cover Sheet does not Include Budget Type    I have been advised that my cover sheet review process should be expanded to include funding sources.  Please revise the cover sheets for DAGs, IGs, and grants and FAPs approved by the president to include budget type per the attached examples."
"671264","Grant Increase Panel should display amount of available budget     When requesting to increase a grant amount, system should display available funds based on selected cost center, initiative, and funding source"
"652077","Report Type - Not available for Recoverable Grants      Req. # 108784 - Recoverable Grant. Once a grant is marked as a Recoverable Grant, the Report Types do not include an option for "Financial" -- For Annual Finanical Report.     Please include this option so that CCU can upload regular annual Financial Reports (similar to the ones we have for regular grants) in addition to the other required reports for recoverable grants.   If this can be done soon, it would be greatly appreciated as reports for the current period have been received and CCU is unable to upload them.   Please let me know if further clarification on this is required."
"644030","Missing Pink Form Signed   Is it possible to create a report for Missing Pink Forms signed in the VGF Quality Control folder. We currently have a report for just missing pink forms but not for the signed ones."
"640546","Discrepancies in budget pages     We must have discussed this before, there is discrepancies between the two budget pages.  In image1, the Total budget for Unit Reserve Budget type is $49,502,558.23 and on the image2, the Total Budget for the Unit Reserve Budget type is $45,690,847.47  The difference between this two pages is one is breakdown by cost center and other one is breakdown by CC/LOW (Cost Center and Initiative); but the over total budget should still remain same."
"628759","Active Grantees Contact Info Report does not work properly             This report should list all grantees with at least one active grant as of a selected run date. It does not. I've pinpointed a few of the problems:     1) The report requires start date and end date as parameters, but it's not clear what should be entered. By experimentation I determined that the report will not include any grantee where the active grant’s ORIGINAL end date is earlier than the selected end date, even if the current end date is in the future. Furthermore, it needs to be determined whether for the Office of Communications' purposes an active grant is a grant whose status is approved, a grant that has not yet reached its end date, or a grant that has not yet been closed (for example, an expired grant with capital equipment reports pending).   2) The report also omits grants that do not have an end date -- consequently, Investees where the PRI has not yet closed, grantees with an equity grant associated with a PRI that has not yet closed, and grantees with grants awaiting government approval are omitted from the list.   It would probably be helpful to add an additional parameter: Country, with the option of choosing a single country, all countries, or a selection of countries.       Reference Ticket : 607776   I would recommend checking with the Office of Communications regarding the priority to be assigned fixing this report. When they need it, it is usually right away or close to it."
"628733","Grant in duplicate profile       Please move Req. #119117 from Grantee ID #32474 to Grantee ID#10419. We will then delete the latter grantee record. This should be done before anyone has a chance to use this record again.       Reference Ticket ID: 620928"
"626138","Permanent fix for CC337, Error in GBS for PRI Reporting Schedule      when user try to regenerate PRI report schedule, exception throw"
