"","Timestamp","Priority","Type","Subtype","Description","Source","IP Address","User","File Name","File Hash","Process","Rule Name","Ban Name"
,"Jul 30 2014 03:57:06 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpfd3914483fba45bfb830e8cdc5f0de96.exec.cmd' [62a324cbafdecc1c07c0d2be2a0824d66cc67af920cf566c2c5dab159578e758] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpfd3914483fba45bfb830e8cdc5f0de96.exec.cmd","62a324cbafdecc1c07c0d2be2a0824d66cc67af920cf566c2c5dab159578e758","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:51:30 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bxlaui.exe' [8d254de08295b0018dd0e1ccf4ead46519f0c83d22ac46c37be21b8f6c45027b] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bxlaui.exe","8d254de08295b0018dd0e1ccf4ead46519f0c83d22ac46c37be21b8f6c45027b","c:\blp\api\office tools\bloomberg.uiserver.exe","Report unapproved executables",""
,"Jul 30 2014 03:51:25 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bloomberg.uiserver.exe' [48fb89f0afe0befb1239aef7fed12c6d24000123a32da7be2fec98fdeaceeb33] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bloomberg.uiserver.exe","48fb89f0afe0befb1239aef7fed12c6d24000123a32da7be2fec98fdeaceeb33","c:\blp\api\office tools\bbxlcmd.exe","Report unapproved executables",""
,"Jul 30 2014 03:51:22 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bbxlcmd.exe' [d41d28908f8607c1308020db851805c0cd2a4584797481ba8a9f004f34311567] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bbxlcmd.exe","d41d28908f8607c1308020db851805c0cd2a4584797481ba8a9f004f34311567","c:\windows\explorer.exe","Report unapproved executables",""
,"Jul 30 2014 03:42:55 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bxladiag.exe' [008c92460ae5820ff9bf3d7365fe5b2bae07b220fecb18dc27d2e8e0de83c916] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bxladiag.exe","008c92460ae5820ff9bf3d7365fe5b2bae07b220fecb18dc27d2e8e0de83c916","c:\blp\api\office tools\bxlaui.exe","Report unapproved executables",""
,"Jul 30 2014 03:42:39 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bxlaui.exe' [8d254de08295b0018dd0e1ccf4ead46519f0c83d22ac46c37be21b8f6c45027b] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bxlaui.exe","8d254de08295b0018dd0e1ccf4ead46519f0c83d22ac46c37be21b8f6c45027b","c:\blp\api\office tools\bloomberg.uiserver.exe","Report unapproved executables",""
,"Jul 30 2014 03:42:37 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bloomberg.uiserver.exe' [48fb89f0afe0befb1239aef7fed12c6d24000123a32da7be2fec98fdeaceeb33] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bloomberg.uiserver.exe","48fb89f0afe0befb1239aef7fed12c6d24000123a32da7be2fec98fdeaceeb33","c:\blp\api\office tools\bbxlcmd.exe","Report unapproved executables",""
,"Jul 30 2014 03:42:34 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\blp\api\office tools\bbxlcmd.exe' [d41d28908f8607c1308020db851805c0cd2a4584797481ba8a9f004f34311567] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4810-0942","172.20.9.157","FORDFOUNDATION\p.aleckson","bbxlcmd.exe","d41d28908f8607c1308020db851805c0cd2a4584797481ba8a9f004f34311567","c:\windows\explorer.exe","Report unapproved executables",""
,"Jul 30 2014 03:34:28 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpff27b942c5bd4762b2a605a269d17ea9.exec.cmd' [28d00171ff7544b2a0f1a3591c325ba6260c5b560af9e0aac8c28b09f07496ad] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpff27b942c5bd4762b2a605a269d17ea9.exec.cmd","28d00171ff7544b2a0f1a3591c325ba6260c5b560af9e0aac8c28b09f07496ad","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:34:24 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpb2fb25d4a41a49a49c160ad0a9c0659c.exec.cmd' [f6d7e92740ed9c48d95c22d98a9bcfa64d7e300fe22e99a5de27b91598428563] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpb2fb25d4a41a49a49c160ad0a9c0659c.exec.cmd","f6d7e92740ed9c48d95c22d98a9bcfa64d7e300fe22e99a5de27b91598428563","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:34:24 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpa98ace5de09f49eb85dee6f5feb2186c.exec.cmd' [84435009837dbc29b8cdfd3e4b332ca55293f99c497336f64bf39c38231fe272] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpa98ace5de09f49eb85dee6f5feb2186c.exec.cmd","84435009837dbc29b8cdfd3e4b332ca55293f99c497336f64bf39c38231fe272","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:34:24 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpc3544419f22f405083b13f7dfaf0c73b.exec.cmd' [8e537cc6c138529a4635ccdcfa49b458798aa1289c4695038622794c911a6b62] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpc3544419f22f405083b13f7dfaf0c73b.exec.cmd","8e537cc6c138529a4635ccdcfa49b458798aa1289c4695038622794c911a6b62","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:34:21 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmp54c42a7dcc3b4ab49d0681be16ac332d.exec.cmd' [dddcb6547c7d36f0b14bf012b2f0b2c7756947454a896b50eb7fffcec3616c2e] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmp54c42a7dcc3b4ab49d0681be16ac332d.exec.cmd","dddcb6547c7d36f0b14bf012b2f0b2c7756947454a896b50eb7fffcec3616c2e","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:34:19 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpa5fd847f10ea48578020060f0a1d316c.exec.cmd' [62a324cbafdecc1c07c0d2be2a0824d66cc67af920cf566c2c5dab159578e758] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpa5fd847f10ea48578020060f0a1d316c.exec.cmd","62a324cbafdecc1c07c0d2be2a0824d66cc67af920cf566c2c5dab159578e758","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:29:53 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpd26540c661da43ebbd42ad02c97b8506.exec.cmd' [28d00171ff7544b2a0f1a3591c325ba6260c5b560af9e0aac8c28b09f07496ad] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpd26540c661da43ebbd42ad02c97b8506.exec.cmd","28d00171ff7544b2a0f1a3591c325ba6260c5b560af9e0aac8c28b09f07496ad","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:29:50 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmp4cae8c54bcfa41d78058a068015b33a9.exec.cmd' [f6d7e92740ed9c48d95c22d98a9bcfa64d7e300fe22e99a5de27b91598428563] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmp4cae8c54bcfa41d78058a068015b33a9.exec.cmd","f6d7e92740ed9c48d95c22d98a9bcfa64d7e300fe22e99a5de27b91598428563","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:29:50 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmpcd0362a87eee4067a1f3a61f95e5025d.exec.cmd' [84435009837dbc29b8cdfd3e4b332ca55293f99c497336f64bf39c38231fe272] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmpcd0362a87eee4067a1f3a61f95e5025d.exec.cmd","84435009837dbc29b8cdfd3e4b332ca55293f99c497336f64bf39c38231fe272","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:29:49 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmp06872b01a3d144f19f7ddca50ef33aec.exec.cmd' [8e537cc6c138529a4635ccdcfa49b458798aa1289c4695038622794c911a6b62] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmp06872b01a3d144f19f7ddca50ef33aec.exec.cmd","8e537cc6c138529a4635ccdcfa49b458798aa1289c4695038622794c911a6b62","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
,"Jul 30 2014 03:29:46 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\users\n.oliva\appdata\local\temp\tmp51045986bd314980bcb59752795ac76b.exec.cmd' [dddcb6547c7d36f0b14bf012b2f0b2c7756947454a896b50eb7fffcec3616c2e] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS4927-0343A","172.20.3.41","FORDFOUNDATION\n.oliva","tmp51045986bd314980bcb59752795ac76b.exec.cmd","dddcb6547c7d36f0b14bf012b2f0b2c7756947454a896b50eb7fffcec3616c2e","c:\windows\syswow64\cmd.exe","Report unapproved scripts",""
